tweet_id,text,created_at,lang,user_id_hashed,retweet_count,like_count,comment_count,is_reply,reply_to_id,is_retweet,is_quote,urls,hashtags,mentions,media,text_cleaned,text_length,word_count,urls_count,hashtags_count,mentions_count,media_count,date,hour,day_of_week,total_engagement,cleaned_text,neg_score,neu_score,pos_score,compound_score,sentiment
935445317364760578,#설인아 #비디오스타 #SeolInAh #Shownu,2017-11-28 09:48:00,en,36f111be52d9886c,0,2,0,False,,True,False,[],"[""#설인아"", ""#비디오스타"", ""#SeolInAh"", ""#Shownu""]",[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FDPtei5GVoAAcmm-.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",seolinah shownu,15,2,0,4,0,1,2017-11-28,9,Tuesday,2,seolinah shownu,0.0,1.0,0.0,0.0,neutral
908859896866603008,"You have been so generous to me. I am so sorry for the many times I let you down.T_T
Though i dont deserve it please stay as my friend.. </3",2017-09-16 01:07:00,en,36f111be52d9886c,0,0,0,False,,False,False,[],[],[],[],you have been so generous to me. i am so sorry for the many times i let you down.tt though i dont deserve it please stay as my friend.. 3,137,30,0,0,0,0,2017-09-16,1,Saturday,0,you have been so generous to me i am so sorry for the many times i let you downtt though i dont deserve it please stay as my friend,0.112,0.664,0.225,0.6945,positive
875589142071042048,"LISTEN: @JayeHanash drops new single #CoolDown! #CoolDownbyJamesReid 

myxph.com/features/31780/lis…",2017-06-16 05:41:00,en,36f111be52d9886c,0,974,9,False,,True,False,"[""http://myxph.com/features/31780/listen-james-reid-drops-new-single-cool-down/""]","[""#CoolDown"", ""#CoolDownbyJamesReid""]",[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FDCa3pELU0AAm4wn.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",listen drops new single cooldown! cooldownbyjamesreid myxph.comfeatures31780lis...,82,7,1,2,0,1,2017-06-16,5,Friday,983,listen drops new single cooldown cooldownbyjamesreid myxphcomfeatureslis,0.0,1.0,0.0,0.0,neutral
847781455019352064,makikisakay po,2017-03-31 12:03:00,tl,36f111be52d9886c,0,0,0,False,,False,False,[],[],[],[],makikisakay po,14,2,0,0,0,0,2017-03-31,12,Friday,0,makikisakay po,0.783,0.217,0.0,-0.5574,negative
846719238685540354,ANG ARTE,2017-03-28 13:42:00,tl,36f111be52d9886c,0,0,0,False,,False,False,[],[],[],[],ang arte,8,2,0,0,0,0,2017-03-28,13,Tuesday,0,ang arte,0.0,1.0,0.0,0.0,neutral
846204934051844096,Does she know by @KianaVee currently playing at rx93.1. :) classy... <3,2017-03-27 03:39:00,en,36f111be52d9886c,0,0,0,False,,False,False,[],[],[],[],does she know by currently playing at rx93.1. classy... 3,57,10,0,0,0,0,2017-03-27,3,Monday,0,does she know by currently playing at rx classy,0.0,0.598,0.402,0.5719,positive
843860254702030848,"Go @sam_concepcion and ms @MsLeaSalonga! :) 
#GlobeLive #IDareToDream",2017-03-20 16:22:00,en,36f111be52d9886c,0,0,0,False,,False,False,[],"[""#GlobeLive"", ""#IDareToDream""]",[],[],go and ms ! globelive idaretodream,34,6,0,2,0,0,2017-03-20,16,Monday,0,go and ms globelive idaretodream,0.0,1.0,0.0,0.0,neutral
843800437992038401,I ain't playing with you #DarNadine,2017-03-20 12:24:00,en,36f111be52d9886c,0,110,1,False,,True,False,[],"[""#DarNadine""]",[],"[{""type"": ""image"", ""url"": ""https://nitter.net/pic/media%2FC7XIAb7U8AAzjP6.jpg%3Fname%3Dsmall%26format%3Dwebp"", ""alt"": """"}]",i ain't playing with you darnadine,34,6,0,1,0,1,2017-03-20,12,Monday,111,i aint playing with you darnadine,0.285,0.715,0.0,-0.1511,negative
842742463047614465,Go @KianaVee!!,2017-03-17 14:20:00,sw,36f111be52d9886c,0,0,0,False,,False,True,[],[],[],[],go !!,5,2,0,0,0,0,2017-03-17,14,Friday,0,go,0.0,1.0,0.0,0.0,neutral
842738670042005505,Yey! Just watched @KianaVee's music vid!Uve got the moves girl! Watch it friends!:),2017-03-17 14:05:00,en,36f111be52d9886c,0,0,0,False,,False,False,[],[],[],[],yey! just watched 's music vid!uve got the moves girl! watch it friends!,72,13,0,0,0,0,2017-03-17,14,Friday,0,yey just watched s music viduve got the moves girl watch it friends,0.0,0.78,0.22,0.4767,positive
